,name,year,month,SN,wind,pressure,day,hour,lat,long,status,category,tropicalstorm_force_diameter,hurricane_force_diameter
1,Amy,1975,6,1,25,1013,27,0,27.5,-79,tropical depression,NA,NA,NA
2,Amy,1975,6,2,25,1013,27,6,28.5,-79,tropical depression,NA,NA,NA
3,Amy,1975,6,3,25,1013,27,12,29.5,-79,tropical depression,NA,NA,NA
4,Amy,1975,6,4,25,1013,27,18,30.5,-79,tropical depression,NA,NA,NA
5,Amy,1975,6,5,25,1012,28,0,31.5,-78.8,tropical depression,NA,NA,NA
6,Amy,1975,6,6,25,1012,28,6,32.4,-78.7,tropical depression,NA,NA,NA
7,Amy,1975,6,7,25,1011,28,12,33.3,-78,tropical depression,NA,NA,NA
8,Amy,1975,6,8,30,1006,28,18,34,-77,tropical depression,NA,NA,NA
9,Amy,1975,6,9,35,1004,29,0,34.4,-75.8,tropical storm,NA,NA,NA
10,Amy,1975,6,10,40,1002,29,6,34,-74.8,tropical storm,NA,NA,NA
11,Amy,1975,6,11,45,1000,29,12,33.8,-73.8,tropical storm,NA,NA,NA
12,Amy,1975,6,12,50,998,29,18,33.8,-72.8,tropical storm,NA,NA,NA
13,Amy,1975,6,13,50,998,30,0,34.3,-71.6,tropical storm,NA,NA,NA
14,Amy,1975,6,14,55,998,30,6,35.6,-70.8,tropical storm,NA,NA,NA
15,Amy,1975,6,15,60,987,30,12,35.9,-70.5,tropical storm,NA,NA,NA
16,Amy,1975,6,16,60,987,30,18,36.2,-70.2,tropical storm,NA,NA,NA
17,Amy,1975,7,17,60,984,1,0,36.2,-69.8,tropical storm,NA,NA,NA
18,Amy,1975,7,18,60,984,1,6,36.2,-69.4,tropical storm,NA,NA,NA
19,Amy,1975,7,19,60,984,1,12,36.2,-68.3,tropical storm,NA,NA,NA
20,Amy,1975,7,20,60,984,1,18,36.7,-67.2,tropical storm,NA,NA,NA
21,Amy,1975,7,21,60,984,2,0,37.4,-66.7,tropical storm,NA,NA,NA
22,Amy,1975,7,22,60,984,2,6,37.3,-65.9,tropical storm,NA,NA,NA
23,Amy,1975,7,23,60,981,2,12,37.3,-65.1,tropical storm,NA,NA,NA
24,Amy,1975,7,24,60,986,2,18,37.3,-64.1,tropical storm,NA,NA,NA
25,Amy,1975,7,25,55,986,3,0,37.7,-62.8,tropical storm,NA,NA,NA
26,Amy,1975,7,26,55,986,3,6,38.2,-61.2,tropical storm,NA,NA,NA
27,Amy,1975,7,27,55,986,3,12,39.3,-59.6,tropical storm,NA,NA,NA
28,Amy,1975,7,28,50,986,3,18,40.5,-58,tropical storm,NA,NA,NA
29,Amy,1975,7,29,50,986,4,0,42.5,-54.8,tropical storm,NA,NA,NA
30,Amy,1975,7,30,50,986,4,6,44.5,-51.6,tropical storm,NA,NA,NA
31,Amy,1975,7,31,45,995,4,12,47,-48,extratropical,NA,NA,NA
32,Blanche,1975,7,32,20,1014,24,0,26,-68.4,tropical depression,NA,NA,NA
